Department,Course Title,Course No.,Related Dept,Related Dept 2,Related Dept 3
Economics,Microeconomics,Eco 101,,,
Economics,Macroeconomics,Eco 102,,,
Economics,Mathematics,Eco 103,Mathematics,,
Economics,Statistics,Eco 104,Statistics,,
Economics,Economics History Of Bangladesh,Eco 105,History,Bangla,
Economics,Accounting,Eco 106,Accounting,,
Economics,Social Sciences,Eco 107,,,
Economics,Functional English,Eco 00,English,,
Economics,Micoeconomics Theory,Eco 201,,,
Economics,Macroeconomics Theory,Eco 202,,,
Economics,Research Methodology,Eco 203,,,
Economics,Advanced Statistics,Eco 204,Statistics,,
Economics,Agriculural Economics,Eco 205,,,
Economics,Banking And Finance,Eco 206,Finance,Banking & Insurance,
Economics,Computer Application,Eco 207,CSE,,
Economics,Advanced Macroeconmics Theory,Eco 301,,,
Economics,Advanced Micreonmics Theory,Eco 302,,,
Economics,Mathematical Economics,Eco 303,Mathematics,,
Economics,Econometrics,Eco 304,,,
Economics,Economics Growth And Development,Eco 305,Development Studies,,
Economics,Islamic Economics (Optional),Eco 306,,,
Economics,Industrial Economics (Optional),Eco 307,,,
Economics,Health Economics (Optional),Eco 308,,,
Economics,Labor Economics,Eco 401,,,
Economics,Public Finance,Eco 402,Finance,,
Economics,International Trade,Eco 403,,,
Economics,Finacial Investment,Eco 404,,,
Economics,Environment Economics,Eco 405,Environmental Science,,
Economics,History Of Economic Thought,Eco 406,History,,
Economics,Political Economy Of Underdevelopment,Eco 407,Political Science,Development Studies,
English,Receptive Skills,ENG 101,,,
English,Productive Skills,ENG 102,,,
English,Reading across Genres,ENG 103,,,
English,Introduction to Poetry,ENG 104,,,
English,Introduction to Fiction and Drama,ENG 105,,,
English,Socio-Cultural & Political History of England,ENG 106,History,Political Science,
English,Academic Writing,ENG 201,,,
English,Greek Classics in Translation,ENG 202,,,
English,Poetry from Blake to Keats,ENG 203,,,
English,New Literatures (Fiction),ENG 204,,,
English,American Literature: 17th to 19th Century,ENG 205,,,
English,History of English Literature,ENG 206,History,,
English,Introduction to Western Ideas,ENG 207,,,
English,New Literatures (Poetry and Drama),ENG 301,,,
English,World Literature in Translation,ENG 302,,,
English,British Fiction from Swift to Hardy,ENG 303,,,
English,Poetry from Chaucer to Pope,ENG 304,,,
English,Drama from Marlowe to Congreve,ENG 305,,,
English,Partition Literature,ENG 306,,,
English,English for Professional Purposes,ENG 307,,,
English,Introduction to Linguistics,ENG 308,,,
English,Poetry from Barrett Browning to Rossetti,ENG 401,,,
English,American Fiction,ENG 402,,,
English,20th Century English Poetry & Drama,ENG 403,,,
English,20th Century English Fiction,ENG 404,,,
English,English Literary Criticism,ENG 405,,,
English,Critical Theory,ENG 406,,,
English,Stylistics and Discourse Analysis,ENG 407,,,
English,Introduction to Psycholinguistics and Sociolinguistics,ENG 408,,,
Fisheries,Aquatic Ecology,FISH 101,,,
Fisheries,Aquatic Invertebrates,FISH 103,,,
Fisheries,Aquatic Vertebrates and Physiology,FISH 105,,,
Fisheries,Aquatic Botany,FISH 107,Botany,,
Fisheries,Fisheries Microbiology,FISH 109,Microbiology,,
Fisheries,Fisheries Biochemistry,FISH 111,"Chemistry
", Biochemistry & Molecular Biology,
Fisheries,Computer Application,FISH 113,CSE,,
Fisheries,Communicative English,FISH 115,English,,
Fisheries,Aquatic Ecology Practical,FISH 102,,,
Fisheries,Aquatic Invertebrates Practical,FISH 104,,,
Fisheries,Aquatic Vertebrates and Physiology Practical,FISH 106,,,
Fisheries,Aquatic Botany Practical,FISH 108,Botany,,
Fisheries,Fisheries Microbiology Practical,FISH 110,Microbiology,,
Fisheries,Fisheries Biochemistry Practical,FISH 112,Chemistry,Biochemistry & Molecular Biology,
Fisheries,Computer Application Practical,FISH 114,CSE,,
Fisheries,Fish and Shell Fish Biology,FISH 201,,,
Fisheries,Limnology,FISH 203,,,
Fisheries,Planktology,FISH 205,,,
Fisheries,Aquaculture,FISH 207,,,
Fisheries,Coastal and Estuarine Fisheries,FISH 209,,,
Fisheries,Fish Pharmacology,FISH 211,,,
Fisheries,Remote Sensing and GIS in Fisheries,FISH 213,,,
Fisheries,Oceanography,FISH 215,Oceanography ,,
Fisheries,Post Harvest Technology,FISH 217,,,
Fisheries,Mathematics,FISH 219,Mathematics,,
Fisheries,Fish and Shell Fish Biology Practical,FISH 202,,,
Fisheries,Limnology Practical,FISH 204,,,
Fisheries,Planktology Practical,FISH 206,,,
Fisheries,Aquaculture Practical,FISH 208,,,
Fisheries,Coastal and Estuarine Fisheries Practical,FISH 210,,,
Fisheries,Fish Pharmacology Practical,FISH 212,,,
Fisheries,Remote Sensing and GIS in Fisheries Practical,FISH 214,,,
Fisheries,Oceanography Practical,FISH 216,Oceanography ,,
Fisheries,Post Harvest Technology Practical,FISH 218,,,
Fisheries,Bio-statistics,FISH 301,Statistics,,
Fisheries,Hatchery Operation and Management,FISH 303,Management,,
Fisheries,Aquatic Environmental Science,FISH 305,Environmental Science,,
Fisheries,Wetland and Lake Management,FISH 307,Management,,
Fisheries,Biodiversity Conservation and Management,FISH 309,Management,,
Fisheries,Aquaculture Planning and Engineering,FISH 311,,,
Fisheries,Fish Feed Technology,FISH 313,,,
Fisheries,Fish Population Dynamics,FISH 315,,,
Fisheries,Fisheries Economics,FISH 317,Economics,,
Fisheries,Fishery Products and By Products,FIS 319,,,
Fisheries,Bio-statistics Practical,FISH 302,Statistics,,
Fisheries,Hatchery Operation and Management Practical,FISH 304,Management,,
Fisheries,Environmental Management Practical,FISH 306,Management, Environmental Science,
Fisheries,Wetland and Lake Management Practical,FISH 308,Management,,
Fisheries,Biodiversity Conservation and Management Practical,FISH 310,Management,,
Fisheries,Aquaculture Planning and Engineering Practical,FISH 312,,,
Fisheries,Fish Feed Technology Practical,FISH 314,,,
Fisheries,Fish Population Dynamics Practical,FISH 316,,,
Fisheries,Fisheries Economics Practical,FISH 318,Economics,,
Fisheries,Fishery Products and By Products Practical,FISH 320,,,
Fisheries,Fisheries Resources Management,FISH 401,Management,,
Fisheries,Climate Change and Fisheries,FISH 403,,,
Fisheries,Fish and Shell Fish Nutrition,FISH 405,,,
Fisheries,Fish and Shell Fish Diseases,FISH 407,,,
Fisheries,Fisheries Biotechnology and Genetics,FISH 409,GEB,,
