Merit,Department
4,Dept. of Arabic
7,Dept. of History
13,Dept. of English
22,Dept. of English
27,Dept. of English
28,Dept. of English
29,Dept. of English
32,Dept. of English
39,Dept. of English
40,Dept. of Bangla
44,Dept. of History
46,Dept. of English
47,Dept. of English
48,Dept. of English
51,Dept. of English
52,Dept. of English
53,Dept. of History
59,Dept. of English
62,Dept. of Bangla
63,Dept. of English
69,Dept. of English
70,Dept. of History
72,Dept. of English
73,Dept. of Bangla
74,Dept. of Islamic History and Culture
78,Dept. of English
81,Dept. of History
82,Dept. of Bangla
84,Dept. of English
88,Institute of Education and Research
91,Dept. of English
93,Dept. of English
94,Dept. of English
97,Dept. of English
100,Dept. of English
102,Dept. of English
104,Dept. of Islamic History and Culture
107,Dept. of Bangla
109,Dept. of English
117,Dept. of English
121,Dept. of English
123,Dept. of English
124,Dept. of English
126,Dept. of Arabic
129,Institute of Modern Languages
130,Dept. of English
131,Dept. of Bangla
132,Dept. of Bangla
134,Dept. of Bangla
136,Dept. of Bangla
137,Dept. of English
139,Dept. of English
143,Dept. of English
150,Dept. of English
154,Dept. of English
158,Dept. of Bangla
159,Dept. of English
166,Dept. of Arabic
167,Dept. of History
170,Dept. of History
172,Dept. of Bangla
174,Dept. of English
175,Dept. of Bangla
177,Dept. of Bangla
180,Institute of Education and Research
181,Dept. of Bangla
184,Dept. of English
186,Dept. of English
188,Dept. of English
192,Dept. of Bangla
193,Dept. of English
197,Dept. of Bangla
200,Dept. of Bangla
204,Dept. of Bangla
205,Dept. of History
206,Dept. of English
208,Dept. of English
209,Dept. of Bangla
210,Dept. of Islamic History and Culture
211,Dept. of Islamic History and Culture
212,Dept. of English
215,Dept. of English
217,Dept. of History
222,Dept. of English
228,Dept. of English
232,Dept. of Bangla
236,Dept. of Bangla
238,Dept. of Bangla
240,Dept. of English
243,Dept. of Bangla
245,Dept. of English
246,Dept. of English
247,Dept. of English
248,Dept. of History
249,Dept. of Bangla
254,Dept. of Islamic History and Culture
255,Dept. of Bangla
258,Dept. of English
262,Dept. of History
264,Dept. of History
265,Dept. of Bangla
266,Dept. of English
267,Dept. of English
268,Dept. of History
271,Dept. of English
275,Dept. of Bangla
280,Dept. of Bangla
281,Dept. of History
285,Dept. of Bangla
286,Dept. of English
288,Dept. of Arabic
290,Dept. of English
292,Dept. of Bangla
293,Dept. of Bangla
296,Dept. of History
297,Dept. of Bangla
299,Dept. of History
300,Dept. of Bangladesh Studies
301,Dept. of History
302,Dept. of Bangla
303,Institute of Education and Research
304,Dept. of Bangla
306,Dept. of Bangla
307,Dept. of Islamic Studies
308,Dept. of English
310,Dept. of English
313,Dept. of Bangla
314,Dept. of Bangla
315,Dept. of Arabic
316,Dept. of Bangla
317,Dept. of English
318,Dept. of Bangla
320,Dept. of Bangla
321,Dept. of Bangla
323,Dept. of Bangla
325,Dept. of English
326,Dept. of English
328,Dept. of English
