Merit,Department
1,Dept. of Pharmacy
2,Dept. of Genetic Engineering and Biotechnology
4,Dept. of Pharmacy
6,Dept. of Pharmacy
8,Dept. of Pharmacy
11,Dept. of Pharmacy
12,Dept. of Pharmacy
14,Dept. of Pharmacy
15,Dept. of Pharmacy
16,Dept. of Pharmacy
21,Dept. of Computer Science and Engineering
22,Dept. of Pharmacy
24,Dept. of Computer Science and Engineering
26,Dept. of Pharmacy
29,Dept. of Genetic Engineering and Biotechnology
34,Dept. of Pharmacy
35,Dept. of Genetic Engineering and Biotechnology
36,Dept. of Pharmacy
37,Dept. of Computer Science and Engineering
39,Dept. of Pharmacy
40,Dept. of Pharmacy
44,Dept. of Pharmacy
45,Dept. of Genetic Engineering and Biotechnology
46,Dept. of Genetic Engineering and Biotechnology
47,Dept. of Computer Science and Engineering
49,Dept. of Pharmacy
50,Dept. of Computer Science and Engineering
53,Dept. of Genetic Engineering and Biotechnology
55,Dept. of Pharmacy
60,Dept. of Pharmacy
61,Dept. of Pharmacy
62,Dept. of Applied Chemistry and Chemical Engineering
65,Dept. of Computer Science and Engineering
67,Dept. of Pharmacy
68,Dept. of Computer Science and Engineering
69,Dept. of Pharmacy
70,Dept. of Pharmacy
71,Dept. of Pharmacy
72,Dept. of Pharmacy
73,Dept. of Pharmacy
75,Dept. of Pharmacy
76,Dept. of Pharmacy
78,Dept. of Computer Science and Engineering
79,Dept. of Pharmacy
82,Dept. of Pharmacy
83,Dept. of Genetic Engineering and Biotechnology
84,Dept. of Genetic Engineering and Biotechnology
85,Dept. of Genetic Engineering and Biotechnology
87,Dept. of Computer Science and Engineering
90,Dept. of Computer Science and Engineering
91,Dept. of Genetic Engineering and Biotechnology
94,Dept. of Genetic Engineering and Biotechnology
97,Dept. of Microbiology
98,Dept. of Genetic Engineering and Biotechnology
99,Dept. of Biochemistry and Molecular Biology
100,Dept. of Genetic Engineering and Biotechnology
102,Dept. of Biochemistry and Molecular Biology
105,Dept. of Genetic Engineering and Biotechnology
107,Dept. of Computer Science and Engineering
109,Dept. of Biochemistry and Molecular Biology
110,Dept. of Biochemistry and Molecular Biology
111,Dept. of Genetic Engineering and Biotechnology
112,Dept. of Genetic Engineering and Biotechnology
113,Dept. of Computer Science and Engineering
114,Dept. of Computer Science and Engineering
116,Dept. of Genetic Engineering and Biotechnology
117,Dept. of Biochemistry and Molecular Biology
120,Dept. of Applied Chemistry and Chemical Engineering
121,Dept. of Genetic Engineering and Biotechnology
122,Dept. of Genetic Engineering and Biotechnology
123,Dept. of Biochemistry and Molecular Biology
127,Dept. of Biochemistry and Molecular Biology
128,Dept. of Computer Science and Engineering
131,Dept. of Biochemistry and Molecular Biology
134,Dept. of Genetic Engineering and Biotechnology
136,Dept. of Genetic Engineering and Biotechnology
137,Dept. of Computer Science and Engineering
138,Dept. of Genetic Engineering and Biotechnology
139,Dept. of Genetic Engineering and Biotechnology
140,Dept. of Genetic Engineering and Biotechnology
141,Dept. of Biochemistry and Molecular Biology
145,Dept. of Biochemistry and Molecular Biology
146,Dept. of Computer Science and Engineering
147,Dept. of Computer Science and Engineering
148,Dept. of Computer Science and Engineering
149,Dept. of Genetic Engineering and Biotechnology
152,Dept. of Computer Science and Engineering
155,Dept. of Computer Science and Engineering
156,Dept. of Biochemistry and Molecular Biology
158,Dept. of Biochemistry and Molecular Biology
160,Dept. of Genetic Engineering and Biotechnology
163,Dept. of Computer Science and Engineering
164,Dept. of Biochemistry and Molecular Biology
165,Dept. of Biochemistry and Molecular Biology
167,Dept. of Computer Science and Engineering
171,Dept. of Genetic Engineering and Biotechnology
175,Dept. of Genetic Engineering and Biotechnology
176,Dept. of Biochemistry and Molecular Biology
177,Dept. of Computer Science and Engineering
184,Dept. of Genetic Engineering and Biotechnology
185,Dept. of Computer Science and Engineering
186,Dept. of Computer Science and Engineering
188,Dept. of Microbiology
190,Dept. of Computer Science and Engineering
193,Dept. of Genetic Engineering and Biotechnology
195,Dept. of Computer Science and Engineering
198,Dept. of Computer Science and Engineering
201,Dept. of Genetic Engineering and Biotechnology
202,Dept. of Genetic Engineering and Biotechnology
205,Dept. of Biochemistry and Molecular Biology
206,Dept. of Biochemistry and Molecular Biology
208,Dept. of Biochemistry and Molecular Biology
209,Dept. of Chemistry
210,Dept. of Computer Science and Engineering
212,Dept. of Genetic Engineering and Biotechnology
214,Dept. of Computer Science and Engineering
217,Dept. of Biochemistry and Molecular Biology
218,Dept. of Computer Science and Engineering
219,Dept. of Biochemistry and Molecular Biology
220,Dept. of Computer Science and Engineering
221,Dept. of Computer Science and Engineering
222,Dept. of Applied Chemistry and Chemical Engineering
223,Dept. of Computer Science and Engineering
224,Dept. of Biochemistry and Molecular Biology
226,Dept. of Computer Science and Engineering
228,Dept. of Genetic Engineering and Biotechnology
229,Dept. of Genetic Engineering and Biotechnology
231,Dept. of Applied Chemistry and Chemical Engineering
233,Dept. of Computer Science and Engineering
236,Dept. of Biochemistry and Molecular Biology
237,Dept. of Biochemistry and Molecular Biology
238,Dept. of Computer Science and Engineering
239,Dept. of Computer Science and Engineering
241,Dept. of Biochemistry and Molecular Biology
242,Dept. of Biochemistry and Molecular Biology
245,Dept. of Computer Science and Engineering
246,Dept. of Biochemistry and Molecular Biology
247,Dept. of Biochemistry and Molecular Biology
251,Dept. of Biochemistry and Molecular Biology
255,Dept. of Computer Science and Engineering
256,Dept. of Computer Science and Engineering
257,Dept. of Computer Science and Engineering
258,Dept. of Computer Science and Engineering
259,Dept. of Computer Science and Engineering
260,Dept. of Computer Science and Engineering
261,Dept. of Applied Chemistry and Chemical Engineering
262,Dept. of Computer Science and Engineering
266,Dept. of Computer Science and Engineering
267,Dept. of Biochemistry and Molecular Biology
269,Dept. of Applied Chemistry and Chemical Engineering
270,Dept. of Biochemistry and Molecular Biology
272,Dept. of Applied Chemistry and Chemical Engineering
274,Dept. of Computer Science and Engineering
275,Dept. of Computer Science and Engineering
276,Dept. of Computer Science and Engineering
278,Dept. of Biochemistry and Molecular Biology
279,Dept. of Biochemistry and Molecular Biology
281,Dept. of Microbiology
282,Dept. of Biochemistry and Molecular Biology
284,Dept. of Biochemistry and Molecular Biology
286,Dept. of Biochemistry and Molecular Biology
288,Dept. of Applied Chemistry and Chemical Engineering
